Participant ID,Post Order,Post_ID,Trusted_Headline_with_map,Suspicious_Headline_with_map,Trusted_Headline_with_photo,Suspicious_Headline_with_photo,Trusted_Headline_only,Suspicious_Headline_only,Trust,Time,Interest_Maps,Proficiency_Maps,Experienced_Climate,Interest_Climate,Trust_Researchers,Trust_Climate
101,6,4,0,0,0,0,0,1,2,1.421750519,4,5,5,5,5,4
107,4,4,0,0,0,0,0,1,2,-0.378718542,5,4,4,4,5,4
117,2,4,0,0,0,0,0,1,2,-0.512391353,5,4,4,4,5,4
119,7,4,0,0,0,0,0,1,2,-0.053874689,5,4,4,3,4,3
215,4,4,0,0,0,0,0,1,2,1.62544043,3,1,2,3,5,4
217,2,4,0,0,0,0,0,1,2,-0.122255688,3,2,4,3,4,4
221,5,4,0,0,0,0,0,1,2,0.686449428,3,2,5,3,4,3
225,4,4,0,0,0,0,0,1,2,1.330753431,4,2,4,2,4,4
229,2,4,0,0,0,0,0,1,2,-0.000228091,4,2,2,3,2,2
233,8,4,0,0,0,0,0,1,2,-0.471366576,3,2,3,2,2,2
235,5,4,0,0,0,0,0,1,2,1.497269294,4,3,4,2,4,3
237,4,4,0,0,0,0,0,1,2,1.09646859,5,4,4,5,4,3
239,6,4,0,0,0,0,0,1,2,1.69068769,4,3,4,3,3,3
241,4,4,0,0,0,0,0,1,2,0.280320014,3,3,4,3,4,4
224,3,4,0,1,0,0,0,0,1,0.478641398,4,4,3,3,3,3
104,7,4,0,1,0,0,0,0,1,0.299725889,4,3,3,3,3,2
103,6,4,0,0,0,0,0,1,1,1.413366014,4,2,4,5,5,4
109,6,4,0,0,0,0,0,1,1,0.435966289,4,2,4,4,3,4
111,6,4,0,0,0,0,0,1,1,-0.322692912,5,4,5,4,5,3
113,3,4,0,0,0,0,0,1,1,-0.745211441,4,4,4,4,4,3
115,4,4,0,0,0,0,0,1,1,-3.058967613,4,5,4,3,4,4
201,8,4,0,0,0,0,0,1,1,0.342951941,4,1,4,3,4,3
203,8,4,0,0,0,0,0,1,1,0.084581831,3,2,5,4,5,2
205,5,4,0,0,0,0,0,1,1,-0.482532406,1,3,4,1,5,1
207,8,4,0,0,0,0,0,1,1,-0.40164977,4,3,4,3,4,3
211,2,4,0,0,0,0,0,1,1,1.801180773,3,4,3,3,4,4
219,4,4,0,0,0,0,0,1,1,-0.899894412,3,4,4,3,5,2
221,8,5,0,1,0,0,0,0,4,-0.537855826,3,2,5,3,4,3
229,6,5,0,1,0,0,0,0,4,-1.034892008,4,2,2,3,2,2
228,3,5,0,0,0,1,0,0,3,-0.555557762,4,2,4,4,4,4
236,3,5,0,0,0,1,0,0,3,-0.535437066,3,2,3,3,4,4
105,5,5,0,1,0,0,0,0,3,0.552370047,3,4,4,2,4,4
207,6,5,0,1,0,0,0,0,3,0.465767873,4,3,4,3,4,3
217,4,5,0,1,0,0,0,0,3,0.379634103,3,2,4,3,4,4
109,8,5,0,1,0,0,0,0,3,-0.478300392,4,2,4,4,3,4
233,4,5,0,1,0,0,0,0,3,-0.596417562,3,2,3,2,2,2
115,7,5,0,1,0,0,0,0,3,-1.246669141,4,5,4,3,4,4
223,3,5,0,1,0,0,0,0,3,-2.173975692,3,2,4,3,4,4
108,1,5,0,0,0,1,0,0,2,-1.20231232,5,3,3,4,5,3
116,7,5,0,0,0,1,0,0,2,-0.660573247,4,4,4,3,4,3
118,5,5,0,0,0,1,0,0,2,-0.35878664,4,3,5,4,5,5
202,3,5,0,0,0,1,0,0,2,-0.687807177,4,3,3,3,3,3
212,4,5,0,0,0,1,0,0,2,1.008827781,3,2,4,3,3,2
214,2,5,0,0,0,1,0,0,2,-0.161257647,3,3,4,3,3,3
216,7,5,0,0,0,1,0,0,2,-1.554613102,4,2,4,2,3,2
218,2,5,0,0,0,1,0,0,2,0.053918909,4,3,4,3,3,4
222,3,5,0,0,0,1,0,0,2,-0.96196886,4,3,3,3,3,3
226,8,5,0,0,0,1,0,0,2,-0.368621762,2,2,4,1,3,2
238,3,5,0,0,0,1,0,0,2,-1.294259271,4,3,5,4,4,3
240,5,5,0,0,0,1,0,0,2,-0.71203196,4,2,4,3,4,5
113,1,5,0,1,0,0,0,0,2,1.953120205,4,4,4,4,4,3
215,8,5,0,1,0,0,0,0,2,1.893074466,3,1,2,3,5,4
235,4,5,0,1,0,0,0,0,2,1.760862859,4,3,4,2,4,3
239,8,5,0,1,0,0,0,0,2,1.531585882,4,3,4,3,3,3
205,6,5,0,1,0,0,0,0,2,1.190317873,1,3,4,1,5,1
101,2,5,0,1,0,0,0,0,2,0.958548013,4,5,5,5,5,4
211,1,5,0,1,0,0,0,0,2,0.826619981,3,4,3,3,4,4
227,5,5,0,1,0,0,0,0,2,0.47958517,5,4,3,2,4,4
107,5,5,0,1,0,0,0,0,2,0.02316146,5,4,4,4,5,4
111,5,5,0,1,0,0,0,0,2,-0.09078381,5,4,5,4,5,3
237,2,5,0,1,0,0,0,0,2,-0.108062832,5,4,4,5,4,3
203,3,5,0,1,0,0,0,0,2,-0.206201091,3,2,5,4,5,2
219,2,5,0,1,0,0,0,0,2,-0.277970652,3,4,4,3,5,2
117,3,5,0,1,0,0,0,0,2,-0.447173071,5,4,4,4,5,4
231,5,5,0,1,0,0,0,0,2,-0.506742631,3,1,5,3,4,3
119,6,5,0,1,0,0,0,0,2,-0.841509134,5,4,4,3,4,3
102,4,5,0,0,0,1,0,0,1,-0.044083575,4,3,4,3,3,3
104,6,5,0,0,0,1,0,0,1,-0.863947777,4,3,3,3,3,2
106,3,5,0,0,0,1,0,0,1,-1.018976518,4,4,4,4,4,3
110,1,5,0,0,0,1,0,0,1,-0.7907489,5,5,4,3,4,3
112,7,5,0,0,0,1,0,0,1,-1.147042351,5,5,5,5,5,3
114,1,5,0,0,0,1,0,0,1,-1.3741789,4,4,5,3,5,3
204,4,5,0,0,0,1,0,0,1,-0.241469291,4,2,5,2,4,3
206,8,5,0,0,0,1,0,0,1,-1.443340536,4,3,5,5,4,2
208,6,5,0,0,0,1,0,0,1,-0.521084492,3,1,3,2,4,4
210,8,5,0,0,0,1,0,0,1,-0.467439529,3,2,4,4,3,3
220,3,5,0,0,0,1,0,0,1,-0.330373237,4,3,2,2,4,2
224,4,5,0,0,0,1,0,0,1,-1.615668956,4,4,3,3,3,3
230,4,5,0,0,0,1,0,0,1,-0.315297513,2,1,4,1,4,1
232,3,5,0,0,0,1,0,0,1,-0.410763022,4,4,3,4,4,3
234,5,5,0,0,0,1,0,0,1,-1.046227514,5,4,5,3,3,4
225,7,5,0,1,0,0,0,0,1,1.707809424,4,2,4,2,4,4
103,8,5,0,1,0,0,0,0,1,1.633656054,4,2,4,5,5,4
201,2,5,0,1,0,0,0,0,1,-0.046561961,4,1,4,3,4,3
209,4,5,0,1,0,0,0,0,1,-1.280298126,3,2,4,2,5,3
213,3,5,0,1,0,0,0,0,1,-1.33101396,2,1,2,2,4,3
